,Subject,RT,condition,Error,sens_comp,resp_comp
38892,21,469.53,anHULU,1,comp,comp
38893,21,473.5100000000001,anHULU,1,comp,comp
38894,21,490.48,anHULU,1,comp,comp
38895,21,369.32,anHULU,1,comp,comp
38896,21,473.99,anHULU,1,comp,comp
38897,21,405.04,anHULU,1,comp,comp
38898,21,406.31,anHULU,1,comp,comp
38899,21,456.05,anHULU,1,comp,comp
38900,21,331.5800000000001,anHULU,1,comp,comp
38901,21,517.75,anHULU,1,comp,comp
38902,21,432.18,anHULU,1,comp,comp
38903,21,374.25,anHULU,1,comp,comp
38904,21,461.25,anHULU,1,comp,comp
38905,21,481.92,anHULU,1,comp,comp
38906,21,500.96000000000015,anHULU,1,comp,comp
38907,21,570.2,anHULU,1,comp,comp
38908,21,563.62,anHULU,1,comp,comp
38909,21,868.0200000000002,anHULU,1,comp,comp
38910,21,355.3,anHULU,1,comp,comp
38911,21,895.1,anHULU,1,comp,comp
38912,21,476.93,anHULU,1,comp,comp
38913,21,1116.6,anHULU,1,comp,comp
38914,21,359.86,anHULU,1,comp,comp
38915,21,547.9399999999998,anHULU,1,comp,comp
38916,21,373.14,anHULU,1,comp,comp
38917,21,626.1899999999998,anHULU,1,comp,comp
38918,21,494.3399999999999,anHULU,1,comp,comp
38919,21,616.74,anHULU,1,comp,comp
38920,21,431.31,anHULU,1,comp,comp
38921,21,547.36,anHULU,1,comp,comp
38922,21,534.38,anHULU,1,comp,comp
38923,21,431.17,anHULU,1,comp,comp
38924,21,480.58,anHULU,1,comp,comp
38925,21,463.63999999999993,anHULU,1,comp,comp
38926,21,654.18,anHULU,1,comp,comp
38927,21,524.1600000000002,anHULU,1,comp,comp
38928,21,395.44,anHULU,1,comp,comp
38929,21,442.49,anHULU,1,comp,comp
38930,21,494.5100000000001,anHULU,1,comp,comp
38931,21,512.5300000000002,anHULU,1,comp,comp
38932,21,581.78,anHULU,1,comp,comp
38933,21,457.16,anHULU,1,comp,comp
38934,21,441.15,anHULU,1,comp,comp
38935,21,403.68000000000006,anHULU,1,comp,comp
38936,21,424.09,anHULU,1,comp,comp
38937,21,485.58,anHULU,1,comp,comp
38938,21,677.11,anHULU,1,comp,comp
38939,21,555.87,anHULU,1,comp,comp
38940,21,406.88,anHULU,1,comp,comp
38941,21,676.18,anHULU,1,comp,comp
38942,21,454.46,anHULU,1,comp,comp
38943,21,452.79,anHULU,1,comp,comp
38944,21,822.45,anHULU,1,comp,comp
38945,21,352.04,anHULU,1,comp,comp
38946,21,524.2,anHULU,1,comp,comp
38947,21,672.32,anHULU,1,comp,comp
38948,21,738.67,anHULU,1,comp,comp
38949,21,604.7399999999999,anHULU,1,comp,comp
38950,21,495.34,anHULU,1,comp,comp
38951,21,456.81000000000006,anHULU,1,comp,comp
38952,21,517.15,anHULU,1,comp,comp
38953,21,517.37,anHULU,1,comp,comp
38954,21,474.6,anHULU,1,comp,comp
38955,21,362.3,anHULU,1,comp,comp
38956,21,383.63000000000005,anHULU,1,comp,comp
38957,21,580.57,anHULU,1,comp,comp
38958,21,330.52,anHULU,1,comp,comp
38959,21,289.72,anHULU,1,comp,comp
38960,21,374.26,anHULU,1,comp,comp
38961,21,662.4,anHULU,1,comp,comp
38962,21,419.61,anHULU,1,comp,comp
38963,21,362.61,anHULU,1,comp,comp
38964,21,564.16,anHULU,1,comp,comp
38965,21,424.95,anHULU,1,comp,comp
38966,21,644.29,anHULU,1,comp,comp
38967,21,639.62,anHULU,1,comp,comp
38968,21,526.3,anHULU,1,comp,comp
38969,21,433.03,anHULU,1,comp,comp
38970,21,747.25,anHULU,1,comp,comp
38971,21,438.12,anHULU,1,comp,comp
38972,21,415.26,anHULU,1,comp,comp
38973,21,579.9499999999998,anHULU,1,comp,comp
38974,21,539.15,anHULU,1,comp,comp
38975,21,523.8199999999998,anHULU,1,comp,comp
38976,21,421.74,anHULU,1,comp,comp
38977,21,592.7399999999999,anHULU,1,comp,comp
38978,21,943.54,anHCLC,0,incomp,comp
38979,21,509.1,anHCLC,0,incomp,comp
38980,21,1195.8,anHCLC,0,incomp,comp
38981,21,852.7,anHCLC,0,incomp,comp
38982,21,612.3199999999998,anHCLC,1,incomp,comp
38983,21,537.84,anHCLC,1,incomp,comp
38984,21,845.6,anHCLC,0,incomp,comp
38985,21,617.97,anHCLC,0,incomp,comp
38986,21,787.21,anHCLC,1,incomp,comp
38987,21,936.01,anHCLC,0,incomp,comp
38988,21,672.25,anHCLC,0,incomp,comp
38989,21,1041.8,anHCLC,0,incomp,comp
38990,21,1275.8,anHCLC,0,incomp,comp
38991,21,943.18,anHCLC,0,incomp,comp
38992,21,542.8,anHCLC,0,incomp,comp
38993,21,916.25,anHCLC,0,incomp,comp
38994,21,1428.3,anHCLC,1,incomp,comp
38995,21,1017.1,anHCLC,1,incomp,comp
38996,21,897.4200000000002,anHCLC,0,incomp,comp
38997,21,1261.9,anHCLC,0,incomp,comp
38998,21,912.88,anHCLC,0,incomp,comp
38999,21,733.7600000000001,anHCLC,0,incomp,comp
39000,21,780.9399999999998,anHCLC,0,incomp,comp
39001,21,1085.9999999999998,anHCLC,0,incomp,comp
39002,21,690.24,anHCLC,0,incomp,comp
39003,21,670.0899999999998,anHCLC,0,incomp,comp
39004,21,645.3100000000002,anHCLC,0,incomp,comp
39005,21,1215.8,anHCLC,0,incomp,comp
39006,21,1032.6,anHCLC,1,incomp,comp
39007,21,728.8899999999999,anHCLC,0,incomp,comp
39008,21,611.27,anHCLC,1,incomp,comp
39009,21,1883.6,anHCLC,0,incomp,comp
39010,21,954.22,anHCLC,0,incomp,comp
39011,21,1175.8,anHCLC,0,incomp,comp
39012,21,664.9000000000002,anHCLC,0,incomp,comp
39013,21,1129.6,anHCLC,0,incomp,comp
39014,21,1695.5,anHCLC,0,incomp,comp
39015,21,548.1,anHCLC,0,incomp,comp
39016,21,769.8399999999998,anHCLC,0,incomp,comp
39017,21,1102.2,anHCLC,0,incomp,comp
39018,21,861.5,anHCLC,0,incomp,comp
39019,21,770.32,anHCLC,0,incomp,comp
39020,21,906.67,anHCLC,0,incomp,comp
39021,21,843.4399999999998,anHCLC,0,incomp,comp
39022,21,1195.2,anHCLC,0,incomp,comp
39023,21,1334.9,anHCLC,0,incomp,comp
39024,21,954.93,anHCLC,0,incomp,comp
39025,21,877.9399999999998,anHCLC,0,incomp,comp
39026,21,477.93,anHCLC,0,incomp,comp
39027,21,638.58,anHCLC,0,incomp,comp
39028,21,489.22,anHCLC,0,incomp,comp
